© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Immunological Disease,Inflammatory Disease	Immune mediated inflammatory disease	3.29E-20	3.02E-16	 	-1.059	ADAM12,AHR,ARID5B,B3GNT5,BCL2L11,BCL3,BCL6,CA2,CD22,CD300LF,CD74,CD83,CD86,CNGA1,CTSW,CXCR5,CYP2S1,DDX58,DUSP22,EBI3,F2RL1,FASLG,FGR,FUT7,GRB7,HLA-A,HLA-DOB,HMOX1,ICOS,IFIT1,IFIT3,IFITM2,IFNG,IL18,IL1R1,IL1R2,IL2RA,IRF7,IRF8,JUN,KIT,KLRB1,L1CAM,LGMN,LTA,MAFG,MIR17HG,MYO6,NCF1,NRP1,OAS1,OAS2,P4HA2,RORC,RSAD2,RUNX2,RXRA,S100A6,S1PR1,SELL,SERPINC1,SGK1,SLFN5,SOCS3,TCF4,TG,TIGIT,TTC39C,UNC93B1,USP18,VCAM1,VIPR1,WNT10A	73
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Rheumatic Disease	1.47E-19	6.74E-16	 	0.119	ADAM12,AHR,ARID5B,BCL2L11,BCL3,BCL6,CA2,CACNA2D4,CAPN2,CD22,CD27,CD74,CD83,CD86,CHSY1,CISH,CNGA1,CTSW,CXCR3,CXCR5,CYP2S1,DDX58,EBI3,F2RL1,FASLG,FGR,GABRR2,HLA-A,HLA-DOB,HMOX1,ICOS,IFIT1,IFIT3,IFNG,IL18,IL1R1,IL1R2,IL2RA,IRF7,IRF8,ITGA7,JUN,KIT,KLRB1,L1CAM,LTA,MYO6,NCF1,NRP1,OAS1,OAS2,RORC,RSAD2,RXRA,S100A6,S1PR1,SELL,SERPINC1,SGK1,SLFN5,SOCS3,TBX21,TCF4,TIGIT,TIMP2,TTC39C,USP18,VCAM1,VIPR1,WNT10A	70
Cellular Movement,Immune Cell Trafficking	Leukocyte migration	3.69E-19	8.46E-16	 	-0.719	ACVRL1,AHR,AQP3,ASB2,BCL3,BCL6,CD22,CD300LF,CD53,CD74,CD86,CXCR3,CXCR5,DDX58,F2RL1,FASLG,FGR,FUT7,GJB2,HLA-A,HMOX1,ICOS,IFNG,IL17RE,IL18,IL1R1,IL21,IL2RA,IRF7,JUN,KIT,L1CAM,LGMN,LTA,Ly6a (includes others),MIR17HG,MYO1E,NCF1,NTN1,PENK,POU2AF1,RGS16,RORC,RXRA,S100A4,S1PR1,S1PR3,SATB1,SELL,SERPINB1,SERPINC1,SFTPC,SGK1,SOCS3,TBX21,TG,TIMP2,TSPAN5,VCAM1,VIPR1	60
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of leukocytes	3.69E-19	8.46E-16	 	-0.915	AHR,AQP3,ASB2,BCL3,BCL6,CD22,CD300LF,CD53,CD74,CD86,CXCR3,CXCR5,DDX58,F2RL1,FASLG,FGR,FUT7,GJB2,HLA-A,HMOX1,ICOS,IFNG,IL18,IL1R1,IL21,IL2RA,IRF7,JUN,KIT,LGMN,LTA,Ly6a (includes others),MYO1E,NCF1,NTN1,PENK,POU2AF1,RGS16,RORC,S100A4,S1PR1,S1PR3,SATB1,SELL,SERPINB1,SERPINC1,SFTPC,SGK1,SOCS3,TBX21,TG,TIMP2,TSPAN5,VCAM1,VIPR1	55
Cellular Movement	Cell movement	2.01E-18	3.68E-15	 	-1.972	ACVRL1,ADAM12,AHR,AJUBA,AQP3,ARHGAP24,ARID5B,ASB2,BCAM,BCL3,BCL6,BHLHE40,CA2,CAPN2,CD22,CD300LF,CD53,CD74,CD86,CHST10,CPEB1,CRMP1,CXCR3,CXCR5,CYP2S1,DDX58,DUSP22,EBI3,EMP1,EPDR1,F2RL1,FASLG,FGR,FUT7,GJB2,GMFG,GRB7,HLA-A,HMOX1,ICOS,IFNG,IL17RE,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,ITGA7,JUN,KIF13A,KIT,KLF8,KLK3,L1CAM,LGMN,LTA,Ly6a (includes others),MATK,MIR17HG,MYO1E,MYO6,NCF1,NRP1,NTN1,P4HA2,PDLIM4,PENK,POU2AF1,PTPRK,RAP1GAP2,RGS16,ROPN1L,RORC,RUNX2,RXRA,S100A4,S100A6,S1PR1,S1PR3,SATB1,SELL,SERPINB1,SERPINC1,SFTPC,SGK1,SOCS3,SUSD3,TBX21,TG,TGFB3,TIMP2,TNFRSF25,TSPAN5,TUBB2B,USP18,VCAM1,VIPR1	99
Immunological Disease	Systemic autoimmune syndrome	3.83E-18	5.85E-15	 	-1.824	ADAM12,ARID5B,BCL2L11,BCL6,CA2,CD22,CD27,CD7,CD74,CD83,CD86,CISH,CNGA1,CTSW,CXCR3,CXCR5,CYP2S1,DDX58,F2RL1,FASLG,FGR,GABBR1,HLA-A,HLA-DOB,HMOX1,ICOS,IFIT1,IFIT1B,IFIT3,IFNG,IL18,IL1R1,IL1R2,IL2RA,IRF7,IRF8,JUN,KIT,KLRB1,L1CAM,LTA,Ly6a (includes others),MYO6,NCF1,NRP1,OAS1,OAS2,Oasl2,POU2AF1,RORC,RSAD2,RTP4,RXRA,S100A4,S100A6,S1PR1,SELL,SERPINC1,SGK1,SLFN5,SOCS3,TCF4,TIGIT,TNFRSF25,TTC39C,USP18,VCAM1,VIPR1,WNT10A	69
Cancer,Organismal Injury and Abnormalities	Extrapancreatic malignant tumor	5.71E-18	6.37E-15	 	-0.223	ABHD15,ACOT11,ACSBG1,ACSF2,ACSS1,ACVRL1,ADAM12,ADCY6,AHR,AJUBA,APOLD1,AQP3,ARHGAP24,ARID5B,ARL5C,ARMCX6,ASB2,ATCAY,ATP1A3,B3GNT5,B4GALNT4,BAIAP3,BCAM,BCL2L11,BCL3,BCL6,BCO2,BHLHE40,BSPRY,C10orf105,C12orf56,CA2,CACNA2D4,CACNB1,CAPN2,CCDC148,CD22,CD27,CD300LF,CD53,CD7,CD74,CD83,CD86,CDC14B,CELA1,CHCHD10,CHST10,CHST15,CHSY1,CIART,CISH,CMPK2,CNGA1,CORO2A,CORO2B,CPEB1,CRMP1,CTSW,CXCR3,CXCR5,CYP2S1,DCTD,DDX58,DENND3,DUSP22,EBI3,EMP1,ENO3,EPDR1,F2RL1,FAM20A,FANCF,FASLG,FBLN1,FGR,FUT7,GABBR1,GABRR2,GBP5,GJB2,GMFG,GNA15,GPR146,GPR25,GRAMD4,GRB7,HES5,HID1,HIP1,HLA-A,HLA-DOB,HMOX1,HOMER1,HPGDS,ICOS,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL17RE,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,ITGA7,JUN,KCNA2,KIF13A,KIF5C,KIT,KLF8,KLHL3,KLHL4,KLK3,KLRB1,L1CAM,LGMN,LTA,Ly6a (includes others),MACC1,MAFG,MAN1C1,MATK,MIR17HG,MTFP1,MYO1E,MYO6,NAV2,NCF1,NCMAP,NDRG4,NKG7,NRN1,NRP1,NTN1,NTNG2,OAS1,OAS2,P4HA2,PDLIM4,PEAR1,PENK,PER2,PHACTR2,PHF11,PHTF2,PIPOX,PLA1A,PLAC8,PLCB4,POGK,POU2AF1,POU6F1,PTPRK,PTRH1,RAB11FIP5,RAP1GAP2,RASA3,RASGEF1A,RGS16,RHBDF1,RNASE4,RNF144A,ROPN1L,RORC,RREB1,RSAD2,RTN4RL1,RTP4,RUNX2,RXRA,RYR1,S100A3,S100A4,S100A6,S1PR1,S1PR3,SATB1,SELL,SEMA4F,SERPINB1,SERPINC1,SFTPC,SGK1,Sik1,SLC12A8,SLC14A1,SLC16A5,SLC26A11,SLC30A2,SLC37A2,SLC43A1,SLC9A9,SLFN5,SOAT2,SOCS3,SORCS2,SPO11,SRM,STRA6,STX1A,SUSD1,SUSD3,SYP,SYT11,SYT13,TBX21,TCF4,TESC,TG,TGFB3,TIGIT,TIMP2,TMC3,TMPRSS13,TNFRSF25,TOX2,TRIB2,TRIB3,TSPAN5,TTC39C,TUBB2B,TUBB6,UNC93B1,USP18,USP35,VCAM1,VIPR1,WNT10A,ZNF365	235
Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of lymphatic system cells	5.87E-18	6.37E-15	 	-0.595	AHR,ARID5B,B3GNT5,BCL2L11,BCL3,BCL6,BHLHE40,CD22,CD27,CD300LF,CD7,CD74,CD83,CD86,CISH,CXCR3,CXCR5,DDX58,EBI3,F2RL1,FASLG,FUT7,HLA-A,ICOS,IFNG,IL18,IL1R1,IL21,IL2RA,IRF8,KIT,LGMN,LTA,Ly6a (includes others),MATK,MIR17HG,POU2AF1,RHBDF1,RORC,RUNX2,S1PR1,S1PR3,SATB1,SELL,SOCS3,TBX21,TCF4,TG,TIGIT,TNFRSF25,TRIB2,VCAM1	52
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of lymphocytes	6.25E-18	6.37E-15	 	-0.329	AHR,ARID5B,B3GNT5,BCL2L11,BCL3,BHLHE40,CD22,CD27,CD300LF,CD7,CD74,CD83,CD86,CISH,CXCR3,CXCR5,DDX58,EBI3,F2RL1,FASLG,FUT7,HLA-A,ICOS,IFNG,IL18,IL1R1,IL21,IL2RA,IRF8,KIT,LGMN,LTA,Ly6a (includes others),MATK,MIR17HG,POU2AF1,RORC,RUNX2,S1PR1,S1PR3,SATB1,SELL,SOCS3,TBX21,TCF4,TG,TIGIT,TNFRSF25,TRIB2,VCAM1	50
Inflammatory Response,Organismal Injury and Abnormalities	Inflammation of organ	1.17E-17	1.07E-14	 	0.313	AHR,ASB2,BCL2L11,BCL3,BCL6,BHLHE40,CA2,CD22,CD300LF,CD53,CD7,CD74,CD86,CISH,CTSW,CXCR3,DDX58,DUSP22,EBI3,F2RL1,FASLG,FGR,FUT7,GABBR1,GABRR2,GBP5,GRB7,HLA-A,HLA-DOB,HMOX1,HPGDS,ICOS,IFIT1,IFIT3,IFITM2,IFNG,IL18,IL1R1,IL21,IL2RA,IRF7,JUN,KIT,KLRB1,LGMN,LTA,Ly6a (includes others),MIR17HG,Mx1,NCF1,OAS1,OAS2,P4HA2,RASA3,RORC,RSAD2,RTN4RL1,RXRA,S100A4,S1PR1,SELL,SERPINB1,SERPINC1,SOAT2,SOCS3,STRA6,TBX21,TCF4,TIGIT,TNFRSF25,UNC93B1,USP18,VCAM1	73
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of mononuclear leukocytes	2.26E-17	1.79E-14	 	-0.899	AQP3,BCL3,CD22,CD74,CD86,CXCR3,CXCR5,DDX58,F2RL1,FASLG,FUT7,GJB2,HLA-A,HMOX1,ICOS,IFNG,IL18,IL21,IL2RA,IRF7,JUN,LGMN,LTA,Ly6a (includes others),NTN1,PENK,POU2AF1,RGS16,RORC,S100A4,S1PR1,S1PR3,SATB1,SELL,SFTPC,SOCS3,TG,TIMP2,VCAM1,VIPR1	40
Cancer,Organismal Injury and Abnormalities	Non-melanoma solid tumor	2.35E-17	1.79E-14	 	-0.886	ABHD15,ACOT11,ACSBG1,ACSF2,ACSS1,ACVRL1,ADAM12,ADCY6,AHR,AJUBA,APOLD1,AQP3,ARHGAP24,ARID5B,ARL5C,ARMCX6,ASB2,ATCAY,ATP1A3,B3GNT5,B4GALNT4,BAIAP3,BCAM,BCL2L11,BCL3,BCL6,BCO2,BHLHE40,BSPRY,C10orf105,C12orf56,CA2,CACNA2D4,CACNB1,CAPN2,CCDC148,CD22,CD27,CD300LF,CD53,CD7,CD74,CD83,CD86,CDC14B,CELA1,CHCHD10,CHST10,CHST15,CHSY1,CIART,CISH,CMPK2,CNGA1,CORO2A,CORO2B,CPEB1,CRMP1,CTSW,CXCR3,CXCR5,CYP2S1,DCTD,DDX58,DENND3,DUSP22,EBI3,ENO3,EPDR1,F2RL1,FAM20A,FANCF,FASLG,FBLN1,FGR,FRAT1,FUT7,GABBR1,GABRR2,GBP5,GJB2,GMFG,GNA15,GPR146,GPR25,GRAMD4,GRB7,HES5,HID1,HIP1,HLA-A,HLA-DOB,HMOX1,HOMER1,HPGDS,ICOS,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL17RE,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,ITGA7,JUN,KCNA2,KIF13A,KIF5C,KIT,KLF8,KLHL3,KLHL4,KLK3,KLRB1,L1CAM,LGMN,LTA,Ly6a (includes others),MACC1,MAFG,MAN1C1,MATK,MIR17HG,MTFP1,MYO1E,MYO6,NAV2,NCF1,NCMAP,NDRG4,NIPAL1,NKG7,NRN1,NRP1,NTN1,NTNG2,OAS1,OAS2,P4HA2,PDLIM4,PEAR1,PENK,PER2,PHACTR2,PHF11,PHTF2,PIPOX,PLA1A,PLAC8,PLCB4,POGK,POU2AF1,POU6F1,PTPRK,PTRH1,RAB11FIP5,RAP1GAP2,RASA3,RASGEF1A,RGS16,RHBDF1,RNASE4,RNF144A,ROPN1L,RORC,RREB1,RSAD2,RTN4RL1,RTP4,RUNX2,RXRA,RYR1,S100A3,S100A4,S100A6,S1PR1,S1PR3,SATB1,SELL,SEMA4F,SERPINB1,SERPINC1,SFTPC,SGK1,Sik1,SLC12A8,SLC14A1,SLC16A5,SLC26A11,SLC30A2,SLC37A2,SLC43A1,SLC9A9,SLFN5,SOAT2,SOCS3,SORCS2,SPO11,SRM,STRA6,STX1A,SUSD1,SUSD3,SYP,SYT11,SYT13,TBX21,TCF4,TESC,TG,TGFB3,TIGIT,TIMP2,TMC3,TMPRSS13,TNFRSF25,TOX2,TRIB2,TRIB3,TSPAN5,TTC39C,TUBB2B,TUBB6,UNC93B1,USP18,USP35,VCAM1,VIPR1,WNT10A,ZNF365	236
Cellular Movement,Immune Cell Trafficking	Cell movement of lymphoid cells	2.56E-17	1.80E-14	 	-0.527	AQP3,BCL3,CD22,CD74,CD86,CXCR3,CXCR5,DDX58,F2RL1,FASLG,FUT7,GJB2,HLA-A,HMOX1,ICOS,IFNG,IL18,IL21,IL2RA,IRF7,JUN,LTA,Ly6a (includes others),MIR17HG,NTN1,POU2AF1,RGS16,RORC,S100A4,S1PR1,S1PR3,SATB1,SELL,SOCS3,TG,TIMP2,VCAM1	37
Cancer,Organismal Injury and Abnormalities	Malignant solid tumor	3.83E-17	2.51E-14	 	-0.714	ABHD15,ACOT11,ACSBG1,ACSF2,ACSS1,ACVRL1,ADAM12,ADCY6,AHR,AJUBA,APOLD1,AQP3,ARHGAP24,ARID5B,ARL5C,ARMCX6,ASB2,ATCAY,ATP1A3,B3GNT5,B4GALNT4,BAIAP3,BCAM,BCL2L11,BCL3,BCL6,BCO2,BHLHE40,BSPRY,C10orf105,C12orf56,CA2,CACNA2D4,CACNB1,CAPN2,CCDC148,CD22,CD27,CD300LF,CD53,CD7,CD74,CD83,CD86,CDC14B,CELA1,CHCHD10,CHST10,CHST15,CHSY1,CIART,CISH,CMPK2,CNGA1,CORO2A,CORO2B,CPEB1,CRMP1,CTSW,CXCR3,CXCR5,CYP2S1,DCTD,DDX58,DENND3,DUSP22,EBI3,EMP1,ENO3,EPDR1,F2RL1,FAM20A,FANCF,FASLG,FBLN1,FGR,FRAT1,FUT7,GABBR1,GABRR2,GBP5,GJB2,GMFG,GNA15,GPR146,GPR25,GRAMD4,GRB7,HES5,HID1,HIP1,HLA-A,HLA-DOB,HMOX1,HOMER1,HPGDS,ICOS,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL17RE,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,ITGA7,JUN,KCNA2,KIF13A,KIF5C,KIT,KLF8,KLHL3,KLHL4,KLK3,KLRB1,L1CAM,LGMN,LTA,Ly6a (includes others),MACC1,MAFG,MAN1C1,MATK,MIR17HG,MTFP1,MYO1E,MYO6,NAV2,NCF1,NCMAP,NDRG4,NIPAL1,NKG7,NRN1,NRP1,NTN1,NTNG2,OAS1,OAS2,P4HA2,PDLIM4,PEAR1,PENK,PER2,PHACTR2,PHF11,PHTF2,PIPOX,PLA1A,PLAC8,PLCB4,POGK,POU2AF1,POU6F1,PTPRK,PTRH1,RAB11FIP5,RAP1GAP2,RASA3,RASGEF1A,RGS16,RHBDF1,RNASE4,RNF144A,ROPN1L,RORC,RREB1,RSAD2,RTN4RL1,RTP4,RUNX2,RXRA,RYR1,S100A3,S100A4,S100A6,S1PR1,S1PR3,SATB1,SELL,SEMA4F,SERPINB1,SERPINC1,SFTPC,SGK1,Sik1,SLC12A8,SLC14A1,SLC16A5,SLC26A11,SLC30A2,SLC37A2,SLC43A1,SLC9A9,SLFN5,SOAT2,SOCS3,SORCS2,SPO11,SRM,STRA6,STX1A,SUSD1,SUSD3,SYP,SYT11,SYT13,TBX21,TCF4,TCP11L2,TESC,TG,TGFB3,TIGIT,TIMP2,TMC3,TMPRSS13,TNFRSF25,TOX2,TRIB2,TRIB3,TSPAN5,TTC39C,TUBB2B,TUBB6,UNC93B1,USP18,USP35,VCAM1,VIPR1,WNT10A,ZNF365	238
Cell-To-Cell Signaling and Interaction	Response of lymphatic system cells	5.29E-17	3.23E-14	 	-1.131	AHR,BCL2L11,BHLHE40,CD22,CD27,CD83,CD86,CISH,EBI3,FASLG,HMOX1,HPGDS,ICOS,IFNG,IL18,IL1R1,IL21,IL2RA,IRF8,JUN,KLRB1,NCF1,SOCS3,TBX21,TIGIT,TNFRSF25	26
Hematological System Development and Function,Tissue Morphology	Quantity of leukocytes	5.83E-17	3.30E-14	 	-0.161	ADAM12,AHR,ARID5B,B3GNT5,BCL2L11,BCL3,BCL6,BHLHE40,CD22,CD27,CD300LF,CD7,CD74,CD83,CD86,CISH,CXCR3,CXCR5,DDX58,EBI3,F2RL1,FASLG,FUT7,HLA-A,HMOX1,ICOS,IFNG,IL18,IL1R1,IL21,IL2RA,IRF8,KIT,LGMN,LTA,Ly6a (includes others),MATK,MIR17HG,PLAC8,POU2AF1,RORC,RUNX2,S1PR1,S1PR3,SATB1,SELL,SERPINB1,SOCS3,TBX21,TCF4,TG,TIGIT,TIMP2,TNFRSF25,TRIB2,VCAM1	56
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Lupus erythematosus	6.12E-17	3.30E-14	 	 	ARID5B,BCL2L11,CD22,CD86,CNGA1,CTSW,CXCR5,CYP2S1,DDX58,FASLG,FGR,HLA-A,ICOS,IFIT1,IFIT3,IFNG,IL18,IL1R2,IRF7,IRF8,KLRB1,MYO6,NCF1,OAS1,OAS2,RORC,RSAD2,RXRA,S100A6,S1PR1,SELL,SERPINC1,SGK1,SOCS3,USP18,VCAM1	36
Immunological Disease,Inflammatory Disease,Inflammatory Response,Neurological Disease,Organismal Injury and Abnormalities	Experimental autoimmune encephalomyelitis	7.88E-17	4.01E-14	 	-1.140	AHR,BCL6,BHLHE40,CD300LF,CD74,CD86,DUSP22,EBI3,F2RL1,FASLG,HLA-A,ICOS,IFITM2,IFNG,IL18,IL1R1,IL21,IL2RA,KIT,KLRB1,MIR17HG,NCF1,RASA3,RORC,RTN4RL1,S1PR1,SELL,SERPINB1,SOAT2,TBX21,TIGIT,USP18,VCAM1	33
Cellular Movement	Migration of cells	9.43E-17	4.55E-14	 	-1.594	ACVRL1,ADAM12,AHR,AJUBA,AQP3,ARHGAP24,ARID5B,ASB2,BCAM,BCL3,BCL6,BHLHE40,CAPN2,CD22,CD300LF,CD53,CD74,CD86,CHST10,CPEB1,CRMP1,CXCR3,CXCR5,CYP2S1,DDX58,DUSP22,EBI3,EMP1,EPDR1,F2RL1,FASLG,FGR,FUT7,GJB2,GMFG,GRB7,HLA-A,HMOX1,ICOS,IFNG,IL17RE,IL18,IL1R1,IL21,IL2RA,IRF7,JUN,KIF13A,KIT,KLK3,L1CAM,LGMN,LTA,Ly6a (includes others),MATK,MIR17HG,MYO1E,NCF1,NRP1,NTN1,P4HA2,PENK,POU2AF1,PTPRK,RAP1GAP2,RGS16,RORC,RUNX2,RXRA,S100A4,S100A6,S1PR1,S1PR3,SATB1,SELL,SERPINB1,SERPINC1,SFTPC,SGK1,SOCS3,TBX21,TG,TGFB3,TIMP2,TNFRSF25,TSPAN5,TUBB2B,USP18,VCAM1,VIPR1	90
Cancer,Organismal Injury and Abnormalities	Abdominal neoplasm	1.03E-16	4.73E-14	 	-0.707	ABHD15,ACOT11,ACSBG1,ACSF2,ACSS1,ACVRL1,ADAM12,ADCY6,AHR,AJUBA,APOLD1,AQP3,ARHGAP24,ARID5B,ARL5C,ARMCX6,ASB2,ATCAY,ATP1A3,B3GNT5,B4GALNT4,BAIAP3,BCAM,BCL2L11,BCL3,BCL6,BCO2,BHLHE40,BSPRY,C10orf105,C12orf56,CA2,CACNA2D4,CACNB1,CAPN2,CCDC148,CD22,CD300LF,CD53,CD7,CD74,CD83,CD86,CDC14B,CELA1,CHCHD10,CHST10,CHST15,CHSY1,CIART,CISH,CMPK2,CNGA1,CORO2A,CORO2B,CPEB1,CRMP1,CTSW,CXCR3,CXCR5,CYP2S1,DCTD,DDX58,DENND3,DUSP22,EBI3,EMP1,ENO3,EPDR1,F2RL1,FAM20A,FANCF,FASLG,FBLN1,FGR,FUT7,GABBR1,GABRR2,GBP5,GJB2,GNA15,GPR146,GPR25,GRAMD4,GRB7,HES5,HID1,HIP1,HLA-A,HLA-DOB,HMOX1,HOMER1,HPGDS,ICOS,IFIT1,IFIT1B,IFIT3,IFITM2,IFNG,IL17RE,IL18,IL1R1,IL1R2,IL21,IL2RA,IRF7,IRF8,ITGA7,JUN,KCNA2,KIF13A,KIF5C,KIT,KLF8,KLHL3,KLHL4,KLK3,L1CAM,LGMN,LTA,Ly6a (includes others),MACC1,MAFG,MAN1C1,MATK,MIR17HG,MTFP1,MYO1E,MYO6,NAV2,NCMAP,NDRG4,NKG7,NRN1,NRP1,NTN1,NTNG2,OAS1,OAS2,P4HA2,PDLIM4,PEAR1,PENK,PER2,PHACTR2,PHF11,PHTF2,PIPOX,PLA1A,PLAC8,PLCB4,POGK,POU2AF1,POU6F1,PTPRK,PTRH1,RAB11FIP5,RAP1GAP2,RASA3,RASGEF1A,RGS16,RHBDF1,RNASE4,RNF144A,ROPN1L,RORC,RREB1,RTN4RL1,RTP4,RUNX2,RXRA,RYR1,S100A3,S100A4,S100A6,S1PR1,S1PR3,SATB1,SELL,SEMA4F,SERPINB1,SERPINC1,SFTPC,SGK1,SLC12A8,SLC14A1,SLC16A5,SLC26A11,SLC30A2,SLC37A2,SLC43A1,SLC9A9,SLFN5,SOAT2,SOCS3,SORCS2,SPO11,SRM,STRA6,STX1A,SUSD1,SUSD3,SYP,SYT11,SYT13,TBX21,TCF4,TESC,TG,TGFB3,TIGIT,TIMP2,TMC3,TMPRSS13,TNFRSF25,TOX2,TRIB2,TRIB3,TSPAN5,TTC39C,TUBB2B,TUBB6,UNC93B1,USP18,USP35,VCAM1,VIPR1,WNT10A,ZNF365	229
Hematological System Development and Function,Tissue Morphology	Quantity of blood cells	1.28E-16	5.39E-14	 	-0.279	ADAM12,AHR,ARID5B,B3GNT5,BCL2L11,BCL3,BCL6,BHLHE40,CD22,CD27,CD300LF,CD7,CD74,CD83,CD86,CISH,CXCR3,CXCR5,DDX58,EBI3,F2RL1,FASLG,FUT7,HLA-A,HMOX1,ICOS,IFNG,IL18,IL1R1,IL21,IL2RA,IRF8,JUN,KIT,LGMN,LTA,Ly6a (includes others),MATK,MIR17HG,PER2,PLAC8,POU2AF1,RORC,RUNX2,S1PR1,S1PR3,SATB1,SELL,SERPINB1,SLC14A1,SOCS3,TBX21,TCF4,TG,TIGIT,TIMP2,TNFRSF25,TRIB2,VCAM1	59
Inflammatory Response	Inflammation of absolute anatomical region	1.30E-16	5.39E-14	 	0.397	AHR,ASB2,BCL2L11,BCL3,BCL6,BHLHE40,CA2,CD22,CD300LF,CD53,CD74,CD86,CISH,CXCR3,DDX58,DUSP22,EBI3,F2RL1,FASLG,FGR,FUT7,GABBR1,GABRR2,GBP5,HLA-A,HLA-DOB,HMOX1,HPGDS,ICOS,IFIT3,IFITM2,IFNG,IL18,IL1R1,IL21,IL2RA,IRF7,JUN,KIT,KLRB1,LTA,Ly6a (includes others),MIR17HG,Mx1,NCF1,NTN1,RASA3,RORC,RTN4RL1,RXRA,S100A4,S1PR1,SELL,SERPINB1,SERPINC1,SOAT2,SOCS3,STRA6,TBX21,TCF4,TIGIT,TNFRSF25,UNC93B1,USP18,VCAM1	65
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Systemic lupus erythematosus	1.46E-16	5.81E-14	 	 	ARID5B,BCL2L11,CD22,CD86,CNGA1,CTSW,CXCR5,CYP2S1,DDX58,FASLG,FGR,ICOS,IFIT1,IFIT3,IFNG,IL18,IL1R2,IRF7,IRF8,KLRB1,MYO6,NCF1,OAS1,OAS2,RORC,RSAD2,RXRA,S100A6,S1PR1,SELL,SERPINC1,SGK1,SOCS3,USP18,VCAM1	35
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of lymphocytes	1.55E-16	5.91E-14	 	-0.658	AQP3,BCL3,CD22,CD74,CD86,CXCR3,CXCR5,DDX58,F2RL1,FASLG,FUT7,GJB2,HLA-A,HMOX1,ICOS,IFNG,IL18,IL21,IL2RA,IRF7,JUN,LTA,Ly6a (includes others),NTN1,POU2AF1,RGS16,RORC,S100A4,S1PR1,S1PR3,SATB1,SELL,SOCS3,TG,TIMP2,VCAM1	36
